Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Daily return,Percentage Return,7 Day Moving Average
MSFT,2023-03-03,252.1900024,255.6199951,251.3899994,255.2899933,255.2899933,30760100,3.099990845,1.229228286,#DIV/0!
MSFT,2023-03-06,256.4299927,260.1199951,255.9799957,256.8699951,256.8699951,24109800,0.440002441,0.171587745,#DIV/0!
MSFT,2023-03-07,256.2999878,257.6900024,253.3899994,254.1499939,254.1499939,21473200,-2.149993896,-0.838858369,#DIV/0!
MSFT,2023-03-08,254.0399933,254.5399933,250.8099976,253.6999969,253.6999969,17340200,-0.339996338,-0.133835753,#DIV/0!
MSFT,2023-03-09,255.8200073,259.5599976,251.5800018,252.3200073,252.3200073,26653400,-3.5,-1.368149441,#DIV/0!
MSFT,2023-03-10,251.0800018,252.7899933,247.6000061,248.5899963,248.5899963,28333900,-2.490005493,-0.991717968,#DIV/0!
MSFT,2023-03-13,247.3999939,257.9100037,245.7299957,253.9199982,253.9199982,33339700,6.520004272,2.635410038,#DIV/0!
MSFT,2023-03-14,256.75,261.0700073,255.8600006,260.7900085,260.7900085,33620300,4.040008545,1.573518421,#DIV/0!
MSFT,2023-03-15,259.980011,266.480011,259.2099915,265.4400024,265.4400024,46028000,5.459991455,2.100158175,#DIV/0!
MSFT,2023-03-16,265.2099915,276.5599976,263.2799988,276.2000122,276.2000122,54768800,10.99002075,4.143893935,#DIV/0!
MSFT,2023-03-17,278.2600098,283.3299866,276.3200073,279.4299927,279.4299927,69527400,1.16998291,0.420463908,#DIV/0!
MSFT,2023-03-20,276.980011,277.480011,269.8500061,272.230011,272.230011,43466600,-4.75,-1.714925197,#DIV/0!
MSFT,2023-03-21,274.8800049,275,269.519989,273.7799988,273.7799988,34558700,-1.100006104,-0.400176835,#DIV/0!
MSFT,2023-03-22,273.3999939,281.0400085,272.1799927,272.2900085,272.2900085,34873300,-1.109985352,-0.405993188,#DIV/0!
MSFT,2023-03-23,277.9400024,281.0599976,275.2000122,277.6600037,277.6600037,36610900,-0.279998779,-0.100740727,#DIV/0!
MSFT,2023-03-24,277.2399902,280.6300049,275.2799988,280.5700073,280.5700073,28172000,3.33001709,1.201131585,#DIV/0!
MSFT,2023-03-27,280.5,281.4599915,275.519989,276.3800049,276.3800049,26840200,-4.119995117,-1.468803963,#DIV/0!
MSFT,2023-03-28,275.7900085,276.1400146,272.0499878,275.230011,275.230011,21878600,-0.559997559,-0.203052156,#DIV/0!
MSFT,2023-03-29,278.9599915,281.1400146,278.4100037,280.5100098,280.5100098,25087000,1.550018311,0.555641797,#DIV/0!
MSFT,2023-03-30,284.230011,284.4599915,281.480011,284.0499878,284.0499878,25053400,-0.180023193,-0.063337152,#DIV/0!
MSFT,2023-03-31,283.730011,289.269989,283,288.2999878,288.2999878,32766000,4.569976807,1.610677979,#DIV/0!
MSFT,2023-04-03,286.519989,288.269989,283.9500122,287.230011,287.230011,24883300,0.710021973,0.247808879,#DIV/0!
MSFT,2023-04-04,287.230011,290.4500122,285.6700134,287.1799927,287.1799927,25824300,-0.050018311,-0.017414027,#DIV/0!
MSFT,2023-04-05,285.8500061,287.1499939,282.9200134,284.3399963,284.3399963,22064800,-1.510009766,-0.528252487,#DIV/0!
MSFT,2023-04-06,283.2099915,292.0799866,282.0299988,291.6000061,291.6000061,29770300,8.390014648,2.962471276,#DIV/0!
MSFT,2023-04-10,289.2099915,289.6000061,284.7099915,289.3900146,289.3900146,23103000,0.180023193,0.062246533,#DIV/0!
MSFT,2023-04-11,285.75,285.980011,281.6400146,282.8299866,282.8299866,27276600,-2.920013428,-1.021876965,#DIV/0!
